time	V(out_positive,out_negative)
2.837870658748990e-02	3.190801e+00
2.838870658748990e-02	3.190803e+00
2.839870658748990e-02	3.190801e+00
2.840870658748990e-02	3.190803e+00
2.841870658748990e-02	3.190801e+00
2.842870658748990e-02	3.190803e+00
2.843870658748991e-02	3.190801e+00
2.844870658748990e-02	3.190803e+00
2.845870658748990e-02	3.190801e+00
2.846870658748990e-02	3.190803e+00
2.847870658748990e-02	3.190801e+00
2.848870658748990e-02	3.190803e+00
2.849870658748990e-02	3.190801e+00
2.850870658748990e-02	3.190803e+00
2.851870658748991e-02	3.190801e+00
2.852870658748990e-02	3.190803e+00
2.853870658748990e-02	3.190801e+00
2.854870658748990e-02	3.190803e+00
2.855870658748990e-02	3.190801e+00
2.856870658748990e-02	3.190803e+00
2.857870658748990e-02	3.190801e+00
2.858870658748990e-02	3.190803e+00
2.859870658748990e-02	3.190801e+00
2.860870658748991e-02	3.190803e+00
2.861870658748990e-02	3.190801e+00
2.862870658748990e-02	3.190803e+00
2.863870658748990e-02	3.190801e+00
2.864870658748990e-02	3.190803e+00
2.865870658748990e-02	3.190801e+00
2.866870658748990e-02	3.190803e+00
2.867870658748990e-02	3.190801e+00
2.868870658748991e-02	3.190803e+00
2.869870658748990e-02	3.190801e+00
2.870870658748990e-02	3.190803e+00
2.871870658748990e-02	3.190801e+00
2.872870658748990e-02	3.190803e+00
2.873870658748990e-02	3.190801e+00
2.874870658748990e-02	3.190803e+00
2.875870658748990e-02	3.190801e+00
2.876870658748990e-02	3.190803e+00
2.877870658748991e-02	3.190801e+00
2.878870658748990e-02	3.190803e+00
2.879870658748990e-02	3.190801e+00
2.880870658748990e-02	3.190803e+00
2.881870658748990e-02	3.190801e+00
2.882870658748990e-02	3.190803e+00
2.883870658748990e-02	3.190801e+00
2.884870658748990e-02	3.190803e+00
2.885870658748991e-02	3.190801e+00
2.886870658748990e-02	3.190803e+00
2.887870658748990e-02	3.190801e+00
2.888870658748990e-02	3.190803e+00
2.889870658748990e-02	3.190801e+00
2.890870658748990e-02	3.190803e+00
2.891870658748990e-02	3.190801e+00
2.892870658748990e-02	3.190803e+00
2.893870658748990e-02	3.190801e+00
2.894870658748991e-02	3.190803e+00
2.895870658748990e-02	3.190801e+00
2.896870658748990e-02	3.190803e+00
2.897870658748990e-02	3.190801e+00
2.898870658748990e-02	3.190803e+00
2.899870658748990e-02	3.190801e+00
2.900870658748990e-02	3.190803e+00
2.901870658748990e-02	3.190801e+00
2.902870658748991e-02	3.190803e+00
2.903870658748990e-02	3.190801e+00
2.904870658748990e-02	3.190803e+00
2.905870658748990e-02	3.190801e+00
2.906870658748990e-02	3.190803e+00
2.907870658748990e-02	3.190801e+00
2.908870658748990e-02	3.190803e+00
2.909870658748990e-02	3.190801e+00
2.910870658748990e-02	3.190803e+00
2.911870658748991e-02	3.190801e+00
2.912870658748990e-02	3.190803e+00
2.913870658748990e-02	3.190801e+00
2.914870658748990e-02	3.190803e+00
2.915870658748990e-02	3.190801e+00
2.916870658748990e-02	3.190803e+00
2.917870658748990e-02	3.190801e+00
2.918870658748990e-02	3.190803e+00
2.919870658748991e-02	3.190801e+00
2.920870658748990e-02	3.190803e+00
2.921870658748990e-02	3.190801e+00
2.922870658748990e-02	3.190803e+00
